Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,2 ,1 ,0.000030 ,0.000030 ,0.000030000000000
var_decl ,3 ,1 ,0.000017 ,0.000017 ,0.000017000000000
var_decl ,4 ,1 ,0.000012 ,0.000012 ,0.000012000000000
var_decl ,5 ,1 ,0.000012 ,0.000012 ,0.000012000000000
var_decl ,6 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,7 ,1 ,0.000022 ,0.000022 ,0.000022000000000
func_decl_n ,70 ,1 ,0.000028 ,0.000028 ,0.000028000000000
assignment ,71 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,72 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,73 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,74 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,75 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,76 ,1 ,0.000002 ,0.000002 ,0.000002000000000
call_n ,77 ,1 ,0.000014 ,0.000014 ,0.000014000000000
assignment ,78 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,79 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,80 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_true_jmp_up ,81 ,8124 ,0.000000 ,0.000072 ,0.000000008862629
assignment ,82 ,8124 ,0.000001 ,0.000028 ,0.000000003446578
prop_setter ,83 ,8123 ,0.000020 ,0.002188 ,0.000000269358611
jmp_down ,84 ,8124 ,0.000004 ,0.000208 ,0.000000025603151
assignment ,85 ,8124 ,0.000002 ,0.000058 ,0.000000007139340
assignment ,86 ,8124 ,0.000001 ,0.000054 ,0.000000006646972
multiplication ,87 ,8124 ,0.000002 ,0.000114 ,0.000000014032496
assignment ,88 ,8124 ,0.000000 ,0.000041 ,0.000000005046775
multiplication ,89 ,8124 ,0.000001 ,0.000048 ,0.000000005908419
less_than ,90 ,8124 ,0.000002 ,0.000181 ,0.000000022279665
