Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000045 ,0.000045 ,0.000045000000000
var_decl ,4 ,1 ,0.000026 ,0.000026 ,0.000026000000000
func_decl_n ,40 ,1 ,0.000024 ,0.000024 ,0.000024000000000
var_decl ,47 ,1 ,0.000002 ,0.000002 ,0.000002000000000
var_decl ,48 ,1 ,0.000003 ,0.000003 ,0.000003000000000
var_decl ,49 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,50 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,51 ,1 ,0.000002 ,0.000002 ,0.000002000000000
is_true_jmp_up ,52 ,12152 ,0.000001 ,0.000069 ,0.000000005678078
assignment ,53 ,12152 ,0.000001 ,0.000039 ,0.000000003209348
prop_setter ,54 ,12152 ,0.000017 ,0.002490 ,0.000000204904542
jmp_down ,55 ,12153 ,0.000002 ,0.000248 ,0.000000020406484
assignment ,56 ,12153 ,0.000001 ,0.000071 ,0.000000005842179
less_or_equal_than ,57 ,12152 ,0.000003 ,0.000356 ,0.000000029295589
func_decl_n ,82 ,1 ,0.000027 ,0.000027 ,0.000027000000000
var_decl ,88 ,1 ,0.000002 ,0.000002 ,0.000002000000000
var_decl ,89 ,1 ,0.000003 ,0.000003 ,0.000003000000000
var_decl ,90 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,91 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,92 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,93 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,94 ,1 ,0.000002 ,0.000002 ,0.000002000000000
is_true_jmp_up ,95 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,96 ,1 ,0.000001 ,0.000001 ,0.000001000000000
b_shift_left ,97 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,98 ,1 ,0.000002 ,0.000002 ,0.000002000000000
multiplication ,99 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,100 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,103 ,1 ,0.000001 ,0.000001 ,0.000001000000000
addition ,104 ,2 ,0.000001 ,0.000002 ,0.000001000000000
assignment ,106 ,1 ,0.000004 ,0.000004 ,0.000004000000000
meta ,108 ,1 ,0.000000 ,0.000000 ,0.000000000000000
jmp_down ,112 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,113 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,114 ,1 ,0.000001 ,0.000001 ,0.000001000000000
less_or_equal_than ,115 ,1 ,0.000006 ,0.000006 ,0.000006000000000
func_decl_n ,118 ,1 ,0.000027 ,0.000027 ,0.000027000000000
