Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000035 ,0.000035 ,0.000035000000000
var_decl ,4 ,1 ,0.000023 ,0.000023 ,0.000023000000000
var_decl ,10 ,128000 ,0.000001 ,0.000136 ,0.000000001062500
var_decl ,11 ,128000 ,0.000001 ,0.001647 ,0.000000012867188
assignment ,12 ,128000 ,0.000001 ,0.000231 ,0.000000001804688
assignment ,13 ,128000 ,0.000001 ,0.001085 ,0.000000008476562
assignment ,14 ,128000 ,0.000001 ,0.000329 ,0.000000002570312
assignment ,15 ,128000 ,0.000001 ,0.000909 ,0.000000007101563
assignment ,16 ,128000 ,0.000001 ,0.000131 ,0.000000001023438
assignment ,17 ,128000 ,0.000001 ,0.000127 ,0.000000000992187
b_shift_left ,18 ,128000 ,0.000001 ,0.001293 ,0.000000010101563
assignment ,19 ,128000 ,0.000001 ,0.000082 ,0.000000000640625
b_and ,20 ,128000 ,0.000001 ,0.000197 ,0.000000001539063
b_shift_right ,21 ,128000 ,0.000001 ,0.000141 ,0.000000001101563
b_and ,22 ,128000 ,0.000001 ,0.001192 ,0.000000009312500
assignment ,23 ,128000 ,0.000001 ,0.000113 ,0.000000000882812
assignment ,24 ,128000 ,0.000001 ,0.000415 ,0.000000003242187
assignment ,25 ,128000 ,0.000001 ,0.000099 ,0.000000000773437
assignment ,26 ,128000 ,0.000001 ,0.000640 ,0.000000005000000
assignment ,27 ,128000 ,0.000001 ,0.000596 ,0.000000004656250
b_shift_right ,28 ,128000 ,0.000001 ,0.000542 ,0.000000004234375
assignment ,29 ,128000 ,0.000001 ,0.000047 ,0.000000000367187
b_and ,30 ,128000 ,0.000001 ,0.000151 ,0.000000001179688
b_shift_right ,31 ,128000 ,0.000001 ,0.000097 ,0.000000000757812
b_and ,32 ,128000 ,0.000001 ,0.000259 ,0.000000002023438
addition ,33 ,128000 ,0.000003 ,0.000213 ,0.000000001664062
assignment ,34 ,128000 ,0.000001 ,0.000096 ,0.000000000750000
assignment ,35 ,128000 ,0.000000 ,0.000215 ,0.000000001679688
assignment ,36 ,128000 ,0.000001 ,0.001351 ,0.000000010554688
assignment ,37 ,128000 ,0.000001 ,0.000274 ,0.000000002140625
assignment ,38 ,128000 ,0.000000 ,0.000223 ,0.000000001742187
b_shift_right ,39 ,128000 ,0.000001 ,0.000229 ,0.000000001789062
assignment ,40 ,128000 ,0.000001 ,0.000104 ,0.000000000812500
b_and ,41 ,128000 ,0.000001 ,0.000835 ,0.000000006523438
b_shift_right ,42 ,128000 ,0.000001 ,0.000081 ,0.000000000632812
b_and ,43 ,128000 ,0.000001 ,0.000241 ,0.000000001882813
addition ,44 ,128000 ,0.000003 ,0.000198 ,0.000000001546875
assignment ,45 ,256000 ,0.000001 ,0.000947 ,0.000000003699219
func_decl_n ,47 ,1 ,0.000030 ,0.000030 ,0.000030000000000
var_decl ,53 ,1 ,0.000003 ,0.000003 ,0.000003000000000
var_decl ,54 ,1 ,0.000003 ,0.000003 ,0.000003000000000
var_decl ,55 ,1 ,0.000002 ,0.000002 ,0.000002000000000
var_decl ,56 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,57 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,58 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,59 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,60 ,1 ,0.000002 ,0.000002 ,0.000002000000000
is_true_jmp_up ,61 ,500 ,0.000000 ,0.000001 ,0.000000002000000
assignment ,62 ,500 ,0.000000 ,0.000001 ,0.000000002000000
assignment ,63 ,500 ,0.000001 ,0.000021 ,0.000000042000000
is_true_jmp_up ,64 ,128000 ,0.000001 ,0.000063 ,0.000000000492187
addition ,67 ,128000 ,0.000004 ,0.000998 ,0.000000007796875
assignment ,68 ,128000 ,0.000001 ,0.000400 ,0.000000003125000
jmp_down ,69 ,128500 ,0.000003 ,0.001779 ,0.000000013844358
assignment ,70 ,128500 ,0.000001 ,0.000798 ,0.000000006210117
assignment ,71 ,128500 ,0.000001 ,0.000470 ,0.000000003657588
less_than ,72 ,128500 ,0.000002 ,0.000569 ,0.000000004428016
is_true_jmp_up ,73 ,500 ,0.000001 ,0.000002 ,0.000000004000000
jmp_down ,74 ,501 ,0.000001 ,0.000012 ,0.000000023952096
assignment ,75 ,501 ,0.000001 ,0.000002 ,0.000000003992016
assignment ,76 ,501 ,0.000001 ,0.000021 ,0.000000041916168
less_than ,77 ,501 ,0.000002 ,0.000007 ,0.000000013972056
is_true_jmp_up ,78 ,2 ,0.000001 ,0.000001 ,0.000000500000000
func_decl_n ,80 ,1 ,0.000025 ,0.000025 ,0.000025000000000
assignment ,81 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,82 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,85 ,1 ,0.000024 ,0.000024 ,0.000024000000000
assignment ,86 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,87 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,88 ,1 ,0.000003 ,0.000003 ,0.000003000000000
not_equal_value ,89 ,1 ,0.000005 ,0.000005 ,0.000005000000000
is_false_jmp_down ,96 ,2 ,0.000000 ,0.000001 ,0.000000500000000
