Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000029 ,0.000029 ,0.000029000000000
var_decl ,4 ,1 ,0.000020 ,0.000020 ,0.000020000000000
var_decl ,10 ,89600 ,0.000001 ,0.000718 ,0.000000008013393
var_decl ,11 ,89600 ,0.000001 ,0.001529 ,0.000000017064732
assignment ,12 ,89600 ,0.000001 ,0.000126 ,0.000000001406250
assignment ,13 ,89600 ,0.000001 ,0.001347 ,0.000000015033482
assignment ,14 ,89600 ,0.000001 ,0.001250 ,0.000000013950893
assignment ,15 ,89600 ,0.000001 ,0.000753 ,0.000000008404018
is_true_jmp_up ,16 ,716800 ,0.000001 ,0.001279 ,0.000000001784319
assignment ,17 ,716800 ,0.000001 ,0.001195 ,0.000000001667132
b_and ,18 ,716800 ,0.000002 ,0.002065 ,0.000000002880859
is_false_jmp_down ,19 ,358400 ,0.000001 ,0.000523 ,0.000000001459263
is_false_jmp_down ,20 ,716800 ,0.000001 ,0.001839 ,0.000000002565569
assignment ,21 ,716800 ,0.000001 ,0.001755 ,0.000000002448382
b_shift_left ,22 ,716800 ,0.000002 ,0.001972 ,0.000000002751116
jmp_down ,23 ,806400 ,0.000001 ,0.001163 ,0.000000001442212
assignment ,24 ,806400 ,0.000001 ,0.001763 ,0.000000002186260
assignment ,25 ,806400 ,0.000001 ,0.001755 ,0.000000002176339
less_than ,26 ,806400 ,0.000002 ,0.002581 ,0.000000003200645
is_true_jmp_up ,27 ,179200 ,0.000001 ,0.001708 ,0.000000009531250
func_decl_n ,29 ,1 ,0.000026 ,0.000026 ,0.000026000000000
var_decl ,35 ,1 ,0.000002 ,0.000002 ,0.000002000000000
var_decl ,36 ,1 ,0.000002 ,0.000002 ,0.000002000000000
var_decl ,37 ,1 ,0.000002 ,0.000002 ,0.000002000000000
var_decl ,38 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,39 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,40 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,41 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,42 ,1 ,0.000002 ,0.000002 ,0.000002000000000
is_true_jmp_up ,43 ,350 ,0.000001 ,0.000005 ,0.000000014285714
assignment ,44 ,350 ,0.000001 ,0.000008 ,0.000000022857143
assignment ,45 ,350 ,0.000001 ,0.000021 ,0.000000060000000
is_true_jmp_up ,46 ,89600 ,0.000001 ,0.000396 ,0.000000004419643
addition ,49 ,89600 ,0.000004 ,0.000835 ,0.000000009319196
assignment ,50 ,89600 ,0.000001 ,0.000482 ,0.000000005379464
jmp_down ,51 ,89950 ,0.000003 ,0.000633 ,0.000000007037243
assignment ,52 ,89950 ,0.000001 ,0.000274 ,0.000000003046137
assignment ,53 ,89950 ,0.000001 ,0.000359 ,0.000000003991106
less_than ,54 ,89950 ,0.000002 ,0.001128 ,0.000000012540300
is_true_jmp_up ,55 ,350 ,0.000001 ,0.000003 ,0.000000008571429
jmp_down ,56 ,351 ,0.000003 ,0.000007 ,0.000000019943020
assignment ,57 ,351 ,0.000001 ,0.000012 ,0.000000034188034
assignment ,58 ,351 ,0.000001 ,0.000006 ,0.000000017094017
less_than ,59 ,351 ,0.000002 ,0.000006 ,0.000000017094017
is_true_jmp_up ,60 ,2 ,0.000001 ,0.000002 ,0.000001000000000
func_decl_n ,62 ,1 ,0.000023 ,0.000023 ,0.000023000000000
assignment ,63 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,64 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,67 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,68 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,69 ,1 ,0.000005 ,0.000005 ,0.000005000000000
assignment ,70 ,1 ,0.000002 ,0.000002 ,0.000002000000000
not_equal_value ,71 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_false_jmp_down ,78 ,2 ,0.000000 ,0.000001 ,0.000000500000000
