Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000038 ,0.000038 ,0.000038000000000
var_decl ,4 ,1 ,0.000006 ,0.000006 ,0.000006000000000
var_decl ,5 ,1 ,0.000022 ,0.000022 ,0.000022000000000
assignment ,12 ,55177 ,0.000001 ,0.000356 ,0.000000006451964
assignment ,13 ,55177 ,0.000001 ,0.000094 ,0.000000001703608
equal_value ,14 ,55177 ,0.000001 ,0.000605 ,0.000000010964714
is_false_jmp_down ,15 ,27378 ,0.000000 ,0.000077 ,0.000000002812477
assignment ,16 ,27378 ,0.000001 ,0.000126 ,0.000000004602235
assignment ,17 ,27378 ,0.000000 ,0.000106 ,0.000000003871722
addition ,18 ,54756 ,0.000000 ,0.000108 ,0.000000001972387
is_false_jmp_down ,19 ,27799 ,0.000001 ,0.000073 ,0.000000002625994
assignment ,20 ,27799 ,0.000001 ,0.000063 ,0.000000002266269
assignment ,21 ,27799 ,0.000001 ,0.000044 ,0.000000001582791
equal_value ,22 ,27799 ,0.000001 ,0.000070 ,0.000000002518076
is_false_jmp_down ,23 ,424 ,0.000001 ,0.000018 ,0.000000042452830
assignment ,26 ,424 ,0.000000 ,0.000006 ,0.000000014150943
substraction ,27 ,848 ,0.000001 ,0.000156 ,0.000000183962264
assignment ,29 ,848 ,0.000000 ,0.000053 ,0.000000062500000
retval ,30 ,424 ,0.000001 ,0.000002 ,0.000000004716981
is_false_jmp_down ,31 ,27375 ,0.000001 ,0.000069 ,0.000000002520548
assignment ,34 ,27375 ,0.000001 ,0.000064 ,0.000000002337900
substraction ,35 ,54750 ,0.000000 ,0.001150 ,0.000000021004566
assignment ,39 ,27375 ,0.000001 ,0.000131 ,0.000000004785388
assignment ,40 ,27375 ,0.000000 ,0.000109 ,0.000000003981735
substraction ,41 ,54750 ,0.000000 ,0.000284 ,0.000000005187215
meta ,42 ,27375 ,0.000001 ,0.000067 ,0.000000002447489
retval ,43 ,27375 ,0.000001 ,0.000080 ,0.000000002922374
func_decl_n ,45 ,1 ,0.000027 ,0.000027 ,0.000027000000000
assignment ,51 ,114625 ,0.000001 ,0.004638 ,0.000000040462377
assignment ,52 ,114625 ,0.000000 ,0.002861 ,0.000000024959651
less_than ,53 ,114625 ,0.000002 ,0.001287 ,0.000000011227917
is_false_jmp_down ,54 ,57314 ,0.000001 ,0.000701 ,0.000000012230869
assignment ,55 ,114628 ,0.000002 ,0.001012 ,0.000000008828558
is_false_jmp_down ,56 ,57311 ,0.000001 ,0.002116 ,0.000000036921359
assignment ,59 ,57311 ,0.000000 ,0.000258 ,0.000000004501754
substraction ,60 ,114622 ,0.000001 ,0.000493 ,0.000000004301094
assignment ,64 ,57311 ,0.000001 ,0.000524 ,0.000000009143096
substraction ,65 ,114622 ,0.000000 ,0.000884 ,0.000000007712307
addition ,67 ,114622 ,0.000001 ,0.000444 ,0.000000003873602
func_decl_n ,69 ,1 ,0.000022 ,0.000022 ,0.000022000000000
assignment ,77 ,75687 ,0.000001 ,0.000527 ,0.000000006962887
greater_or_equal_than ,78 ,75687 ,0.000002 ,0.000660 ,0.000000008720124
is_false_jmp_down ,79 ,113532 ,0.000001 ,0.000158 ,0.000000001391678
is_false_jmp_down ,80 ,18921 ,0.000001 ,0.000169 ,0.000000008931875
assignment ,84 ,18921 ,0.000001 ,0.000059 ,0.000000003118228
substraction ,85 ,37842 ,0.000000 ,0.000530 ,0.000000014005602
meta ,86 ,18921 ,0.000001 ,0.000022 ,0.000000001162729
meta ,87 ,18921 ,0.000000 ,0.000032 ,0.000000001691243
meta ,88 ,18921 ,0.000000 ,0.000031 ,0.000000001638391
assignment ,92 ,18921 ,0.000000 ,0.000029 ,0.000000001532689
substraction ,93 ,37842 ,0.000000 ,0.000105 ,0.000000002774695
meta ,94 ,18921 ,0.000000 ,0.000050 ,0.000000002642566
meta ,95 ,18921 ,0.000000 ,0.000041 ,0.000000002166904
meta ,96 ,18921 ,0.000001 ,0.000039 ,0.000000002061202
assignment ,100 ,18921 ,0.000000 ,0.000077 ,0.000000004069552
substraction ,101 ,37842 ,0.000001 ,0.000084 ,0.000000002219756
meta ,102 ,18921 ,0.000000 ,0.000028 ,0.000000001479837
meta ,103 ,18921 ,0.000001 ,0.000058 ,0.000000003065377
meta ,104 ,18921 ,0.000000 ,0.000050 ,0.000000002642566
retval ,105 ,18921 ,0.000001 ,0.000058 ,0.000000003065377
func_decl_n ,107 ,1 ,0.000025 ,0.000025 ,0.000025000000000
assignment ,108 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,109 ,1 ,0.000006 ,0.000006 ,0.000006000000000
assignment ,110 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,111 ,1 ,0.000003 ,0.000003 ,0.000003000000000
is_true_jmp_up ,112 ,3 ,0.000001 ,0.000002 ,0.000000666666667
meta ,114 ,3 ,0.000000 ,0.000000 ,0.000000000000000
meta ,115 ,3 ,0.000000 ,0.000001 ,0.000000333333333
addition ,117 ,3 ,0.000008 ,0.000009 ,0.000003000000000
assignment ,118 ,3 ,0.000002 ,0.000003 ,0.000001000000000
addition ,121 ,6 ,0.000000 ,0.000004 ,0.000000666666667
addition ,123 ,3 ,0.000007 ,0.000011 ,0.000003666666667
assignment ,124 ,3 ,0.000002 ,0.000004 ,0.000001333333333
multiplication ,127 ,3 ,0.000003 ,0.000005 ,0.000001666666667
assignment ,128 ,3 ,0.000000 ,0.000001 ,0.000000333333333
addition ,129 ,6 ,0.000000 ,0.000004 ,0.000000666666667
assignment ,131 ,3 ,0.000001 ,0.000001 ,0.000000333333333
multiplication ,132 ,3 ,0.000002 ,0.000004 ,0.000001333333333
assignment ,133 ,3 ,0.000001 ,0.000001 ,0.000000333333333
addition ,134 ,6 ,0.000000 ,0.000003 ,0.000000500000000
assignment ,136 ,3 ,0.000002 ,0.000003 ,0.000001000000000
assignment ,137 ,3 ,0.000001 ,0.000001 ,0.000000333333333
addition ,138 ,6 ,0.000001 ,0.000003 ,0.000000500000000
addition ,140 ,3 ,0.000007 ,0.000009 ,0.000003000000000
assignment ,141 ,3 ,0.000002 ,0.000002 ,0.000000666666667
jmp_down ,142 ,4 ,0.000001 ,0.000006 ,0.000001500000000
assignment ,143 ,4 ,0.000002 ,0.000003 ,0.000000750000000
assignment ,144 ,4 ,0.000000 ,0.000024 ,0.000006000000000
less_or_equal_than ,145 ,4 ,0.000003 ,0.000007 ,0.000001750000000
is_true_jmp_up ,146 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,147 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,148 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,149 ,1 ,0.000002 ,0.000002 ,0.000002000000000
not_equal_value ,150 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_false_jmp_down ,157 ,2 ,0.000001 ,0.000001 ,0.000000500000000
