Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
assignment ,2048 ,2 ,0.000000 ,0.000000 ,0.000000000000000
var_decl ,2 ,1 ,0.000068 ,0.000068 ,0.000068000000000
var_decl ,3 ,1 ,0.000031 ,0.000031 ,0.000031000000000
var_decl ,4 ,1 ,0.000054 ,0.000054 ,0.000054000000000
var_decl ,5 ,1 ,0.000075 ,0.000075 ,0.000075000000000
var_decl ,6 ,1 ,0.000037 ,0.000037 ,0.000037000000000
var_decl ,7 ,1 ,0.000087 ,0.000087 ,0.000087000000000
var_decl ,8 ,1 ,0.000095 ,0.000095 ,0.000095000000000
assignment ,2058 ,2 ,0.000000 ,0.000001 ,0.000000500000000
assignment ,2060 ,2 ,0.000000 ,0.000001 ,0.000000500000000
assignment ,2050 ,2 ,0.000001 ,0.000001 ,0.000000500000000
assignment ,2062 ,2 ,0.000001 ,0.000001 ,0.000000500000000
var_decl ,15 ,171 ,0.000002 ,0.000032 ,0.000000187134503
assignment ,2064 ,2 ,0.000000 ,0.000000 ,0.000000000000000
var_decl ,17 ,171 ,0.000001 ,0.000038 ,0.000000222222222
assignment ,2066 ,2 ,0.000000 ,0.000001 ,0.000000500000000
var_decl ,19 ,171 ,0.000002 ,0.000028 ,0.000000163742690
assignment ,2068 ,2 ,0.000000 ,0.000001 ,0.000000500000000
assignment ,21 ,171 ,0.000000 ,0.000030 ,0.000000175438596
assignment ,2070 ,2 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,23 ,171 ,0.000001 ,0.000004 ,0.000000023391813
assignment ,2072 ,2 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,2052 ,2 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,2074 ,2 ,0.000001 ,0.000001 ,0.000000500000000
substraction ,27 ,171 ,0.000001 ,0.000409 ,0.000002391812865
assignment ,2076 ,2 ,0.000001 ,0.000001 ,0.000000500000000
assignment ,2078 ,2 ,0.000001 ,0.000001 ,0.000000500000000
assignment ,2080 ,2 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,2082 ,2 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,2084 ,2 ,0.000000 ,0.000001 ,0.000000500000000
assignment ,2054 ,2 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,2086 ,2 ,0.000001 ,0.000001 ,0.000000500000000
assignment ,39 ,171 ,0.000000 ,0.000002 ,0.000000011695906
