Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,2 ,1 ,0.000034 ,0.000034 ,0.000034000000000
var_decl ,3 ,1 ,0.000013 ,0.000013 ,0.000013000000000
var_decl ,4 ,1 ,0.000014 ,0.000014 ,0.000014000000000
var_decl ,5 ,1 ,0.000056 ,0.000056 ,0.000056000000000
var_decl ,6 ,1 ,0.000006 ,0.000006 ,0.000006000000000
var_decl ,7 ,1 ,0.000057 ,0.000057 ,0.000057000000000
var_decl ,8 ,1 ,0.000057 ,0.000057 ,0.000057000000000
meta ,17 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,19 ,1 ,0.000002 ,0.000002 ,0.000002000000000
prop_getter ,20 ,1 ,0.001820 ,0.001820 ,0.001820000000000
multiplication ,21 ,2 ,0.000002 ,0.000008 ,0.000004000000000
meta ,22 ,1 ,0.000000 ,0.000000 ,0.000000000000000
retval ,23 ,1 ,0.000000 ,0.000000 ,0.000000000000000
func_decl_n ,25 ,1 ,0.000027 ,0.000027 ,0.000027000000000
func_decl_n ,42 ,1 ,0.000027 ,0.000027 ,0.000027000000000
func_decl_n ,59 ,1 ,0.000028 ,0.000028 ,0.000028000000000
func_decl_n ,72 ,1 ,0.000039 ,0.000039 ,0.000039000000000
func_decl_n ,85 ,1 ,0.000036 ,0.000036 ,0.000036000000000
func_decl_n ,98 ,1 ,0.000038 ,0.000038 ,0.000038000000000
func_decl_n ,109 ,1 ,0.000033 ,0.000033 ,0.000033000000000
var_decl ,116 ,1 ,0.000004 ,0.000004 ,0.000004000000000
var_decl ,117 ,1 ,0.000004 ,0.000004 ,0.000004000000000
var_decl ,118 ,1 ,0.000004 ,0.000004 ,0.000004000000000
var_decl ,119 ,1 ,0.000004 ,0.000004 ,0.000004000000000
var_decl ,120 ,1 ,0.000004 ,0.000004 ,0.000004000000000
var_decl ,121 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,122 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,123 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,124 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,125 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,126 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,127 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,128 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,129 ,1 ,0.000005 ,0.000005 ,0.000005000000000
assignment ,130 ,1 ,0.000044 ,0.000044 ,0.000044000000000
assignment ,131 ,1 ,0.000001 ,0.000001 ,0.000001000000000
b_shift_right ,132 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,133 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,134 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,135 ,1 ,0.000026 ,0.000026 ,0.000026000000000
assignment ,136 ,1 ,0.000001 ,0.000001 ,0.000001000000000
remainder ,137 ,1 ,0.000004 ,0.000004 ,0.000004000000000
substraction ,138 ,1 ,0.000002 ,0.000002 ,0.000002000000000
b_shift_left ,139 ,1 ,0.000002 ,0.000002 ,0.000002000000000
prop_getter ,140 ,1 ,0.000078 ,0.000078 ,0.000078000000000
b_or ,141 ,1 ,0.000003 ,0.000003 ,0.000003000000000
prop_setter ,142 ,1 ,0.000342 ,0.000342 ,0.000342000000000
assignment ,143 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,144 ,1 ,0.000000 ,0.000000 ,0.000000000000000
addition ,145 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,146 ,1 ,0.000001 ,0.000001 ,0.000001000000000
b_shift_right ,147 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,148 ,1 ,0.000001 ,0.000001 ,0.000001000000000
b_shift_left ,149 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,150 ,1 ,0.000001 ,0.000001 ,0.000001000000000
addition ,151 ,1 ,0.000025 ,0.000025 ,0.000025000000000
