Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,3 ,0.000001 ,0.000204 ,0.000068000000000
var_decl ,4 ,3 ,0.000002 ,0.000153 ,0.000051000000000
var_decl ,5 ,3 ,0.000006 ,0.000153 ,0.000051000000000
assignment ,6 ,3 ,0.000001 ,0.000021 ,0.000007000000000
assignment ,9 ,2 ,0.000000 ,0.000001 ,0.000000500000000
prop_setter ,11 ,1 ,0.000125 ,0.000125 ,0.000125000000000
assignment ,12 ,8001 ,0.000001 ,0.000058 ,0.000000007249094
array_decl ,13 ,8001 ,0.000001 ,0.000134 ,0.000000016747907
prop_setter ,14 ,4001 ,0.000014 ,0.000089 ,0.000000022244439
assignment ,15 ,8001 ,0.000001 ,0.000032 ,0.000000003999500
assignment ,16 ,4000 ,0.000013 ,0.000093 ,0.000000023250000
addition ,17 ,8000 ,0.000002 ,0.000090 ,0.000000011250000
assignment ,18 ,8002 ,0.000004 ,0.000070 ,0.000000008747813
prop_getter ,19 ,8000 ,0.000009 ,0.000150 ,0.000000018750000
prop_setter ,20 ,8001 ,0.000004 ,0.000062 ,0.000000007749031
assignment ,21 ,4001 ,0.000001 ,0.000084 ,0.000000020994751
prop_getter ,22 ,4001 ,0.000004 ,0.000041 ,0.000000010247438
assignment ,23 ,4001 ,0.000001 ,0.000063 ,0.000000015746063
assignment ,24 ,8000 ,0.000004 ,0.000069 ,0.000000008625000
prop_getter ,25 ,8000 ,0.000001 ,0.000064 ,0.000000008000000
assignment ,26 ,4000 ,0.000013 ,0.000163 ,0.000000040750000
call_n ,27 ,8000 ,0.000002 ,0.000050 ,0.000000006250000
assignment ,28 ,4000 ,0.000001 ,0.000025 ,0.000000006250000
var_decl ,29 ,20000 ,0.000001 ,0.000049 ,0.000000002450000
assignment ,30 ,12000 ,0.000001 ,0.000054 ,0.000000004500000
prop_getter ,31 ,20000 ,0.000005 ,0.000086 ,0.000000004300000
prop_getter ,32 ,12000 ,0.000003 ,0.000095 ,0.000000007916667
assignment ,33 ,20000 ,0.000006 ,0.000150 ,0.000000007500000
equal_value ,34 ,12000 ,0.000001 ,0.000083 ,0.000000006916667
is_false_jmp_down ,35 ,8002 ,0.000001 ,0.000091 ,0.000000011372157
assignment ,36 ,8002 ,0.000001 ,0.000186 ,0.000000023244189
prop_getter ,37 ,4002 ,0.000004 ,0.000043 ,0.000000010744628
assignment ,38 ,4002 ,0.000001 ,0.000063 ,0.000000015742129
prop_getter ,39 ,4000 ,0.000009 ,0.000060 ,0.000000015000000
assignment ,40 ,8000 ,0.000007 ,0.000082 ,0.000000010250000
prop_getter ,41 ,11998 ,0.000001 ,0.000050 ,0.000000004167361
assignment ,42 ,8000 ,0.000001 ,0.000031 ,0.000000003875000
prop_getter ,43 ,16000 ,0.000001 ,0.000063 ,0.000000003937500
prop_getter ,44 ,12000 ,0.000003 ,0.000078 ,0.000000006500000
assignment ,45 ,20000 ,0.000001 ,0.000037 ,0.000000001850000
this_binding ,46 ,8000 ,0.000000 ,0.000022 ,0.000000002750000
prop_getter ,47 ,24000 ,0.000001 ,0.000071 ,0.000000002958333
assignment ,49 ,20000 ,0.000001 ,0.000076 ,0.000000003800000
assignment ,50 ,4000 ,0.000020 ,0.000622 ,0.000000155500000
func_expr_n ,51 ,12001 ,0.000001 ,0.000117 ,0.000000009749188
prop_setter ,52 ,4001 ,0.000015 ,0.000083 ,0.000000020744814
assignment ,53 ,12001 ,0.000001 ,0.000042 ,0.000000003499708
this_binding ,54 ,4000 ,0.000001 ,0.000022 ,0.000000005500000
func_expr_n ,55 ,4001 ,0.000014 ,0.000133 ,0.000000033241690
prop_setter ,56 ,4001 ,0.000002 ,0.000136 ,0.000000033991502
assignment ,57 ,2 ,0.000001 ,0.000001 ,0.000000500000000
call_n ,58 ,4000 ,0.000002 ,0.000033 ,0.000000008250000
var_decl ,59 ,4002 ,0.000002 ,0.000103 ,0.000000025737131
var_decl ,60 ,4002 ,0.000002 ,0.000092 ,0.000000022988506
var_decl ,61 ,4002 ,0.000002 ,0.000089 ,0.000000022238881
