Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
assignment ,33 ,6000000 ,0.000000 ,0.001207 ,0.000000000201167
var_decl ,3 ,1 ,0.000024 ,0.000024 ,0.000024000000000
assignment ,37 ,6000000 ,0.000001 ,0.001413 ,0.000000000235500
assignment ,35 ,6000000 ,0.000000 ,0.003821 ,0.000000000636833
assignment ,39 ,6000000 ,0.000000 ,0.006710 ,0.000000001118333
assignment ,41 ,6000000 ,0.000000 ,0.009364 ,0.000000001560667
jmp_down ,43 ,3000001 ,0.000001 ,0.005553 ,0.000000001850999
assignment ,44 ,3000001 ,0.000001 ,0.005729 ,0.000000001909666
assignment ,45 ,3000001 ,0.000001 ,0.005883 ,0.000000001960999
less_than ,46 ,3000001 ,0.000002 ,0.005260 ,0.000000001753333
is_true_jmp_up ,47 ,2 ,0.000000 ,0.000000 ,0.000000000000000
ret ,17 ,3000000 ,0.000001 ,0.001518 ,0.000000000506000
func_decl_n ,18 ,1 ,0.000032 ,0.000032 ,0.000032000000000
assignment ,19 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,20 ,1 ,0.000005 ,0.000005 ,0.000005000000000
is_true_jmp_up ,21 ,3000000 ,0.000000 ,0.002797 ,0.000000000932333
meta ,23 ,3000000 ,0.000001 ,0.002608 ,0.000000000869333
assignment ,25 ,6000000 ,0.000000 ,0.002794 ,0.000000000465667
assignment ,27 ,6000000 ,0.000000 ,0.001719 ,0.000000000286500
assignment ,29 ,6000000 ,0.000000 ,0.006149 ,0.000000001024833
assignment ,31 ,6000000 ,0.000001 ,0.002047 ,0.000000000341167
