Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000021 ,0.000021 ,0.000021000000000
func_decl_n ,8 ,1 ,0.000022 ,0.000022 ,0.000022000000000
assignment ,9 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,10 ,1 ,0.000009 ,0.000009 ,0.000009000000000
is_true_jmp_up ,11 ,4000000 ,0.000001 ,0.001045 ,0.000000000261250
jmp_down ,13 ,4000001 ,0.000001 ,0.005921 ,0.000000001480250
assignment ,14 ,4000001 ,0.000001 ,0.006795 ,0.000000001698750
assignment ,15 ,4000001 ,0.000001 ,0.002410 ,0.000000000602500
less_than ,16 ,4000001 ,0.000002 ,0.019785 ,0.000000004946249
is_true_jmp_up ,17 ,2 ,0.000000 ,0.000001 ,0.000000500000000
