Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,2 ,1 ,0.000029 ,0.000029 ,0.000029000000000
var_decl ,3 ,1 ,0.000013 ,0.000013 ,0.000013000000000
var_decl ,4 ,1 ,0.000004 ,0.000004 ,0.000004000000000
assignment ,5 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,6 ,1 ,0.000006 ,0.000006 ,0.000006000000000
assignment ,7 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,8 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,9 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,10 ,1 ,0.000003 ,0.000003 ,0.000003000000000
is_true_jmp_up ,11 ,6000000 ,0.000001 ,0.013831 ,0.000000002305167
assignment ,12 ,6000000 ,0.000001 ,0.010495 ,0.000000001749167
addition ,13 ,6000000 ,0.000002 ,0.012391 ,0.000000002065167
assignment ,14 ,6000000 ,0.000002 ,0.013563 ,0.000000002260500
jmp_down ,15 ,6000001 ,0.000003 ,0.016618 ,0.000000002769666
assignment ,16 ,6000001 ,0.000001 ,0.010426 ,0.000000001737666
less_than ,17 ,6000001 ,0.000003 ,0.005334 ,0.000000000889000
is_true_jmp_up ,18 ,2 ,0.000001 ,0.000001 ,0.000000500000000
