Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000039 ,0.000039 ,0.000039000000000
var_decl ,4 ,1 ,0.000019 ,0.000019 ,0.000019000000000
var_decl ,5 ,1 ,0.000024 ,0.000024 ,0.000024000000000
var_decl ,6 ,1 ,0.000029 ,0.000029 ,0.000029000000000
var_decl ,7 ,1 ,0.000035 ,0.000035 ,0.000035000000000
assignment ,13 ,50012 ,0.000001 ,0.000998 ,0.000000019955211
assignment ,14 ,50012 ,0.000001 ,0.000072 ,0.000000001439654
multiplication ,15 ,100024 ,0.000000 ,0.000836 ,0.000000008357994
func_decl_n ,17 ,1 ,0.000026 ,0.000026 ,0.000026000000000
assignment ,23 ,50000 ,0.000001 ,0.000101 ,0.000000002020000
assignment ,24 ,50000 ,0.000001 ,0.000249 ,0.000000004980000
division ,25 ,100000 ,0.000001 ,0.000364 ,0.000000003640000
func_decl_n ,27 ,1 ,0.000024 ,0.000024 ,0.000024000000000
func_decl_n ,36 ,1 ,0.000025 ,0.000025 ,0.000025000000000
var_decl ,42 ,25000 ,0.000001 ,0.002605 ,0.000000104200000
var_decl ,43 ,25000 ,0.000002 ,0.000419 ,0.000000016760000
var_decl ,44 ,25000 ,0.000003 ,0.000150 ,0.000000006000000
var_decl ,45 ,25000 ,0.000003 ,0.000125 ,0.000000005000000
var_decl ,46 ,25000 ,0.000003 ,0.002056 ,0.000000082240000
var_decl ,47 ,25000 ,0.000003 ,0.000250 ,0.000000010000000
assignment ,50 ,25000 ,0.000001 ,0.000246 ,0.000000009840000
assignment ,51 ,25000 ,0.000001 ,0.000060 ,0.000000002400000
assignment ,52 ,25000 ,0.000002 ,0.000106 ,0.000000004240000
assignment ,55 ,25000 ,0.000002 ,0.001848 ,0.000000073920000
assignment ,56 ,25000 ,0.000001 ,0.000040 ,0.000000001600000
assignment ,57 ,25000 ,0.000003 ,0.000556 ,0.000000022240000
assignment ,58 ,25000 ,0.000000 ,0.000076 ,0.000000003040000
assignment ,59 ,25000 ,0.000002 ,0.001565 ,0.000000062600000
is_true_jmp_up ,60 ,300000 ,0.000001 ,0.000947 ,0.000000003156667
assignment ,61 ,300000 ,0.000002 ,0.001611 ,0.000000005370000
greater_than ,62 ,300000 ,0.000004 ,0.001159 ,0.000000003863333
is_false_jmp_down ,63 ,200000 ,0.000001 ,0.002107 ,0.000000010535000
assignment ,64 ,200000 ,0.000001 ,0.000781 ,0.000000003905000
assignment ,65 ,200000 ,0.000002 ,0.000734 ,0.000000003670000
b_shift_right ,66 ,200000 ,0.000003 ,0.000768 ,0.000000003840000
substraction ,67 ,200000 ,0.000001 ,0.000265 ,0.000000001325000
assignment ,68 ,200000 ,0.000003 ,0.001201 ,0.000000006005000
assignment ,69 ,200000 ,0.000001 ,0.000126 ,0.000000000630000
b_shift_right ,70 ,200000 ,0.000003 ,0.002082 ,0.000000010410000
addition ,71 ,200000 ,0.000003 ,0.000340 ,0.000000001700000
assignment ,72 ,200000 ,0.000002 ,0.000921 ,0.000000004605000
assignment ,73 ,200000 ,0.000003 ,0.001905 ,0.000000009525000
assignment ,74 ,200000 ,0.000002 ,0.001679 ,0.000000008395000
prop_getter ,75 ,200000 ,0.000005 ,0.001954 ,0.000000009770000
addition ,76 ,200000 ,0.000006 ,0.001409 ,0.000000007045000
