Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,2 ,1 ,0.031000 ,0.031000 ,0.031000000000000
var_decl ,3 ,1 ,0.006000 ,0.006000 ,0.006000000000000
var_decl ,4 ,1 ,0.028000 ,0.028000 ,0.028000000000000
var_decl ,10 ,5 ,0.001000 ,0.002000 ,0.000400000000000
var_decl ,11 ,5 ,0.002000 ,0.003000 ,0.000600000000000
var_decl ,12 ,5 ,0.002000 ,0.003000 ,0.000600000000000
var_decl ,13 ,5 ,0.002000 ,0.002000 ,0.000400000000000
var_decl ,14 ,5 ,0.002000 ,0.003000 ,0.000600000000000
assignment ,15 ,5 ,0.001000 ,0.003000 ,0.000600000000000
assignment ,16 ,5 ,0.004000 ,0.023000 ,0.004600000000000
assignment ,17 ,5 ,0.003000 ,0.021000 ,0.004200000000000
assignment ,18 ,5 ,0.003000 ,0.020000 ,0.004000000000000
assignment ,19 ,5 ,0.003000 ,0.018000 ,0.003600000000000
assignment ,20 ,5 ,0.003000 ,0.019000 ,0.003800000000000
assignment ,21 ,5 ,0.003000 ,0.018000 ,0.003600000000000
assignment ,22 ,5 ,0.003000 ,0.017000 ,0.003400000000000
assignment ,23 ,5 ,0.003000 ,0.016000 ,0.003200000000000
assignment ,24 ,5 ,0.001000 ,0.002000 ,0.000400000000000
assignment ,25 ,5 ,0.001000 ,0.002000 ,0.000400000000000
assignment ,26 ,5 ,0.001000 ,0.002000 ,0.000400000000000
division ,27 ,5 ,0.001000 ,0.003000 ,0.000600000000000
assignment ,28 ,5 ,0.002000 ,0.002000 ,0.000400000000000
assignment ,29 ,5 ,0.001000 ,0.002000 ,0.000400000000000
unary_minus ,30 ,5 ,0.001000 ,0.001000 ,0.000200000000000
assignment ,31 ,5 ,0.002000 ,0.004000 ,0.000800000000000
assignment ,32 ,5 ,0.001000 ,0.002000 ,0.000400000000000
assignment ,33 ,5 ,0.004000 ,0.028000 ,0.005600000000000
assignment ,34 ,5 ,0.004000 ,0.021000 ,0.004200000000000
assignment ,35 ,5 ,0.004000 ,0.021000 ,0.004200000000000
assignment ,36 ,5 ,0.002000 ,0.028000 ,0.005600000000000
assignment ,37 ,5 ,0.001000 ,0.001000 ,0.000200000000000
assignment ,38 ,5 ,0.002000 ,0.003000 ,0.000600000000000
jmp_down ,39 ,31744 ,0.001000 ,0.097000 ,0.000003055695565
assignment ,40 ,31744 ,0.002000 ,0.157000 ,0.000004945816532
multiplication ,41 ,31744 ,0.003000 ,0.132000 ,0.000004158266129
assignment ,42 ,31744 ,0.002000 ,0.117000 ,0.000003685735887
assignment ,43 ,31744 ,0.002000 ,0.141000 ,0.000004441784274
multiplication ,44 ,31744 ,0.003000 ,1.690000 ,0.000053238407258
assignment ,45 ,31744 ,0.003000 ,0.291000 ,0.000009167086694
assignment ,46 ,31744 ,0.002000 ,0.101000 ,0.000003181703629
