Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000043 ,0.000043 ,0.000043000000000
var_decl ,4 ,1 ,0.000007 ,0.000007 ,0.000007000000000
var_decl ,5 ,1 ,0.000027 ,0.000027 ,0.000027000000000
assignment ,12 ,122400 ,0.000000 ,0.002276 ,0.000000018594771
assignment ,13 ,122400 ,0.000001 ,0.012613 ,0.000000103047386
addition ,14 ,122400 ,0.000002 ,0.000621 ,0.000000005073529
assignment ,15 ,122400 ,0.000001 ,0.009553 ,0.000000078047386
addition ,16 ,122400 ,0.000002 ,0.002285 ,0.000000018668301
assignment ,17 ,122400 ,0.000000 ,0.000096 ,0.000000000784314
addition ,18 ,122400 ,0.000001 ,0.001354 ,0.000000011062092
multiplication ,19 ,122400 ,0.000001 ,0.000326 ,0.000000002663399
assignment ,20 ,122400 ,0.000001 ,0.002042 ,0.000000016683007
division ,21 ,122400 ,0.000001 ,0.000267 ,0.000000002181373
addition ,22 ,122400 ,0.000002 ,0.006059 ,0.000000049501634
assignment ,23 ,122400 ,0.000001 ,0.002511 ,0.000000020514706
addition ,24 ,122400 ,0.000001 ,0.001459 ,0.000000011919935
division ,25 ,244800 ,0.000001 ,0.001821 ,0.000000007438725
func_decl_n ,27 ,1 ,0.000024 ,0.000024 ,0.000024000000000
var_decl ,34 ,80 ,0.000001 ,0.000035 ,0.000000437500000
var_decl ,35 ,80 ,0.000001 ,0.000004 ,0.000000050000000
var_decl ,36 ,80 ,0.000001 ,0.000003 ,0.000000037500000
assignment ,37 ,80 ,0.000001 ,0.000003 ,0.000000037500000
assignment ,38 ,80 ,0.000001 ,0.000007 ,0.000000087500000
is_true_jmp_up ,39 ,1800 ,0.000001 ,0.000057 ,0.000000031666667
assignment ,40 ,1800 ,0.000001 ,0.000047 ,0.000000026111111
assignment ,41 ,1800 ,0.000001 ,0.000062 ,0.000000034444444
assignment ,42 ,1800 ,0.000001 ,0.000022 ,0.000000012222222
assignment ,43 ,1800 ,0.000001 ,0.000099 ,0.000000055000000
is_true_jmp_up ,44 ,61200 ,0.000001 ,0.000781 ,0.000000012761438
meta ,46 ,61200 ,0.000001 ,0.000083 ,0.000000001356209
prop_getter ,48 ,61200 ,0.000003 ,0.001227 ,0.000000020049020
multiplication ,49 ,61200 ,0.000001 ,0.003305 ,0.000000054003268
addition ,50 ,61200 ,0.000003 ,0.000238 ,0.000000003888889
assignment ,51 ,61200 ,0.000001 ,0.000539 ,0.000000008807190
jmp_down ,52 ,63000 ,0.000001 ,0.000273 ,0.000000004333333
assignment ,53 ,63000 ,0.000001 ,0.000069 ,0.000000001095238
assignment ,54 ,63000 ,0.000001 ,0.000937 ,0.000000014873016
prop_getter ,55 ,63000 ,0.000002 ,0.006523 ,0.000000103539683
less_than ,56 ,63000 ,0.000002 ,0.001365 ,0.000000021666667
is_true_jmp_up ,57 ,1800 ,0.000000 ,0.000032 ,0.000000017777778
prop_setter ,58 ,1800 ,0.000006 ,0.000314 ,0.000000174444444
assignment ,59 ,1800 ,0.000001 ,0.000032 ,0.000000017777778
jmp_down ,60 ,1880 ,0.000001 ,0.000037 ,0.000000019680851
assignment ,61 ,1880 ,0.000001 ,0.000025 ,0.000000013297872
assignment ,62 ,1880 ,0.000001 ,0.000071 ,0.000000037765957
prop_getter ,63 ,1880 ,0.000002 ,0.002827 ,0.000001503723404
less_than ,64 ,1880 ,0.000002 ,0.000041 ,0.000000021808511
is_true_jmp_up ,65 ,160 ,0.000000 ,0.000022 ,0.000000137500000
func_decl_n ,66 ,1 ,0.000022 ,0.000022 ,0.000022000000000
var_decl ,73 ,80 ,0.000001 ,0.000004 ,0.000000050000000
var_decl ,74 ,80 ,0.000001 ,0.000023 ,0.000000287500000
var_decl ,75 ,80 ,0.000001 ,0.000003 ,0.000000037500000
assignment ,76 ,80 ,0.000001 ,0.000002 ,0.000000025000000
assignment ,77 ,80 ,0.000001 ,0.000002 ,0.000000025000000
is_true_jmp_up ,78 ,1800 ,0.000000 ,0.000022 ,0.000000012222222
assignment ,79 ,1800 ,0.000001 ,0.000016 ,0.000000008888889
assignment ,80 ,1800 ,0.000001 ,0.000032 ,0.000000017777778
assignment ,81 ,1800 ,0.000000 ,0.000089 ,0.000000049444444
assignment ,82 ,1800 ,0.000001 ,0.000042 ,0.000000023333333
is_true_jmp_up ,83 ,61200 ,0.000000 ,0.000246 ,0.000000004019608
meta ,85 ,61200 ,0.000000 ,0.000037 ,0.000000000604575
prop_getter ,87 ,61200 ,0.000003 ,0.000132 ,0.000000002156863
multiplication ,88 ,61200 ,0.000001 ,0.000200 ,0.000000003267974
addition ,89 ,61200 ,0.000003 ,0.000139 ,0.000000002271242
assignment ,90 ,61200 ,0.000001 ,0.000310 ,0.000000005065359
jmp_down ,91 ,63000 ,0.000002 ,0.000194 ,0.000000003079365
assignment ,92 ,63000 ,0.000001 ,0.000163 ,0.000000002587302
assignment ,93 ,63000 ,0.000001 ,0.000331 ,0.000000005253968
prop_getter ,94 ,63000 ,0.000002 ,0.000235 ,0.000000003730159
less_than ,95 ,63000 ,0.000002 ,0.000250 ,0.000000003968254
is_true_jmp_up ,96 ,1800 ,0.000001 ,0.000028 ,0.000000015555556
prop_setter ,97 ,1800 ,0.000006 ,0.000051 ,0.000000028333333
assignment ,98 ,1800 ,0.000001 ,0.000025 ,0.000000013888889
jmp_down ,99 ,1880 ,0.000001 ,0.000068 ,0.000000036170213
assignment ,100 ,1880 ,0.000001 ,0.000031 ,0.000000016489362
assignment ,101 ,1880 ,0.000001 ,0.000034 ,0.000000018085106
prop_getter ,102 ,1880 ,0.000002 ,0.000349 ,0.000000185638298
less_than ,103 ,1880 ,0.000002 ,0.000079 ,0.000000042021277
is_true_jmp_up ,104 ,160 ,0.000001 ,0.000001 ,0.000000006250000
func_decl_n ,105 ,1 ,0.000026 ,0.000026 ,0.000026000000000
meta ,114 ,80 ,0.000000 ,0.000001 ,0.000000012500000
meta ,117 ,80 ,0.000001 ,0.000001 ,0.000000012500000
ret ,118 ,80 ,0.000000 ,0.000001 ,0.000000012500000
func_decl_n ,119 ,1 ,0.000030 ,0.000030 ,0.000030000000000
