Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,2 ,1 ,0.000030 ,0.000030 ,0.000030000000000
var_decl ,3 ,1 ,0.000010 ,0.000010 ,0.000010000000000
var_decl ,4 ,1 ,0.000010 ,0.000010 ,0.000010000000000
var_decl ,5 ,1 ,0.000013 ,0.000013 ,0.000013000000000
var_decl ,6 ,1 ,0.000015 ,0.000015 ,0.000015000000000
var_decl ,7 ,1 ,0.000019 ,0.000019 ,0.000019000000000
var_decl ,8 ,1 ,0.000032 ,0.000032 ,0.000032000000000
var_decl ,9 ,1 ,0.000035 ,0.000035 ,0.000035000000000
var_decl ,10 ,1 ,0.000041 ,0.000041 ,0.000041000000000
var_decl ,11 ,1 ,0.000045 ,0.000045 ,0.000045000000000
assignment ,17 ,56000 ,0.000002 ,0.000155 ,0.000000002767857
multiplication ,18 ,56000 ,0.000003 ,0.000194 ,0.000000003464286
addition ,19 ,56000 ,0.000003 ,0.000274 ,0.000000004892857
remainder ,20 ,56000 ,0.000004 ,0.000175 ,0.000000003125000
assignment ,21 ,56000 ,0.000002 ,0.000167 ,0.000000002982143
assignment ,22 ,56000 ,0.000001 ,0.000131 ,0.000000002339286
multiplication ,23 ,56000 ,0.000002 ,0.000291 ,0.000000005196429
division ,24 ,112000 ,0.000001 ,0.000177 ,0.000000001580357
func_decl_n ,26 ,1 ,0.000026 ,0.000026 ,0.000026000000000
var_decl ,32 ,2 ,0.000002 ,0.000002 ,0.000001000000000
var_decl ,33 ,2 ,0.000003 ,0.000003 ,0.000001500000000
assignment ,34 ,2 ,0.000001 ,0.000001 ,0.000000500000000
assignment ,35 ,2 ,0.000001 ,0.000002 ,0.000001000000000
assignment ,37 ,17 ,0.000002 ,0.000004 ,0.000000235294118
is_false_jmp_down ,38 ,17 ,0.000001 ,0.000007 ,0.000000411764706
prop_getter ,39 ,17 ,0.000006 ,0.000009 ,0.000000529411765
prop_getter ,40 ,17 ,0.000007 ,0.000016 ,0.000000941176471
addition ,41 ,17 ,0.000002 ,0.000004 ,0.000000235294118
is_false_jmp_down ,42 ,19 ,0.000002 ,0.000011 ,0.000000578947368
assignment ,43 ,19 ,0.000003 ,0.000034 ,0.000001789473684
assignment ,44 ,38 ,0.000001 ,0.000005 ,0.000000131578947
ret ,45 ,2 ,0.000000 ,0.000001 ,0.000000500000000
func_decl_n ,46 ,1 ,0.000047 ,0.000047 ,0.000047000000000
var_decl ,53 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,54 ,1 ,0.000005 ,0.000005 ,0.000005000000000
var_decl ,55 ,1 ,0.000005 ,0.000005 ,0.000005000000000
assignment ,56 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,57 ,1 ,0.000005 ,0.000005 ,0.000005000000000
assignment ,58 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,59 ,1 ,0.000005 ,0.000005 ,0.000005000000000
is_true_jmp_up ,60 ,23334 ,0.000001 ,0.000043 ,0.000000001842804
assignment ,61 ,23334 ,0.000004 ,0.000531 ,0.000000022756493
less_than ,62 ,23334 ,0.000006 ,0.000412 ,0.000000017656638
is_false_jmp_down ,63 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,64 ,1 ,0.000008 ,0.000008 ,0.000008000000000
is_false_jmp_down ,65 ,23334 ,0.000001 ,0.000087 ,0.000000003728465
assignment ,66 ,23334 ,0.000004 ,0.000228 ,0.000000009771149
addition ,67 ,23334 ,0.000005 ,0.000377 ,0.000000016156681
assignment ,68 ,23334 ,0.000004 ,0.000165 ,0.000000007071227
prop_getter ,69 ,23334 ,0.000057 ,0.002672 ,0.000000114511014
less_than ,70 ,23334 ,0.000002 ,0.000447 ,0.000000019156596
is_false_jmp_down ,71 ,18456 ,0.000001 ,0.000104 ,0.000000005635024
assignment ,72 ,18456 ,0.000004 ,0.000121 ,0.000000006556134
prop_getter ,73 ,18456 ,0.000059 ,0.007965 ,0.000000431566970
assignment ,74 ,18456 ,0.000004 ,0.000096 ,0.000000005201560
assignment ,78 ,18456 ,0.000004 ,0.002352 ,0.000000127438231
addition ,79 ,36912 ,0.000001 ,0.000278 ,0.000000007531426
assignment ,81 ,18456 ,0.000004 ,0.000446 ,0.000000024165583
prop_getter ,82 ,18456 ,0.000004 ,0.000161 ,0.000000008723450
addition ,83 ,18456 ,0.000011 ,0.001001 ,0.000000054237104
assignment ,84 ,18456 ,0.000004 ,0.000238 ,0.000000012895535
addition ,85 ,18456 ,0.000012 ,0.002790 ,0.000000151170351
assignment ,86 ,18456 ,0.000004 ,0.000072 ,0.000000003901170
is_false_jmp_down ,87 ,4878 ,0.000001 ,0.000095 ,0.000000019475195
